Location Name: Corporation Water,,
Date,Time,Totalizer
02-06-2025,11:35:00,531095.47
02-06-2025,11:40:00,531096.09
02-06-2025,11:45:00,531096.9
02-06-2025,11:50:00,531098.29
02-06-2025,11:55:00,531099.56
02-06-2025,12:00:00,531100.65
02-06-2025,12:05:00,531101.93
02-06-2025,12:10:00,531102.61
02-06-2025,12:15:00,531103.27
02-06-2025,12:20:00,531104.62
02-06-2025,12:25:00,531105.69
02-06-2025,12:30:00,531106.66
02-06-2025,12:35:00,531107.46
02-06-2025,12:40:00,531108.07
02-06-2025,12:45:00,531108.54
02-06-2025,12:50:00,531109.53
02-06-2025,12:55:00,531110.38
02-06-2025,13:00:00,531111.8
02-06-2025,13:05:00,531112.84
02-06-2025,13:10:00,531113.8
02-06-2025,13:15:00,531114.31
02-06-2025,13:20:00,531115.31
02-06-2025,13:25:00,531116.37
02-06-2025,13:30:00,531117.64
02-06-2025,13:35:00,531118.21
02-06-2025,13:40:00,531119.6
02-06-2025,13:45:00,531120.58
02-06-2025,13:50:00,531121.8
02-06-2025,13:55:00,531122.42
02-06-2025,14:00:00,531123.14
02-06-2025,14:05:00,531124.09
02-06-2025,14:10:00,531124.73
02-06-2025,14:15:00,531125.99
02-06-2025,14:20:00,531127.01
02-06-2025,14:25:00,531127.8
02-06-2025,14:30:00,531128.5
02-06-2025,14:35:00,531129.72
02-06-2025,14:40:00,531130.23
02-06-2025,14:45:00,531131.28
02-06-2025,14:50:00,531132.27
02-06-2025,14:55:00,531132.8
02-06-2025,15:00:00,531133.56
02-06-2025,15:05:00,531134.61
02-06-2025,15:10:00,531135.39
02-06-2025,15:15:00,531136.35
02-06-2025,15:20:00,531137.49
02-06-2025,15:25:00,531138.89
02-06-2025,15:30:00,531139.5
02-06-2025,15:35:00,531140.53
02-06-2025,15:40:00,531141.26
02-06-2025,15:45:00,531142.4
02-06-2025,15:50:00,531143.71
02-06-2025,15:55:00,531144.43
02-06-2025,16:00:00,531145.1
02-06-2025,16:05:00,531146.52
02-06-2025,16:10:00,531147.38
02-06-2025,16:15:00,531148.62
02-06-2025,16:20:00,531149.39
02-06-2025,16:25:00,531150.79
02-06-2025,16:30:00,531152.21
02-06-2025,16:35:00,531153.48
02-06-2025,16:40:00,531154.17
02-06-2025,16:45:00,531155.1
02-06-2025,16:50:00,531155.77
02-06-2025,16:55:00,531156.66
02-06-2025,17:00:00,531158.09
02-06-2025,17:05:00,531159.44
02-06-2025,17:10:00,531160.25
02-06-2025,17:15:00,531160.86
02-06-2025,17:20:00,531162.02
02-06-2025,17:25:00,531163.19
02-06-2025,17:30:00,531164.06
02-06-2025,17:35:00,531164.92
02-06-2025,17:40:00,531165.65
02-06-2025,17:45:00,531166.54
02-06-2025,17:50:00,531167.56
02-06-2025,17:55:00,531168.17
02-06-2025,18:00:00,531169.01
02-06-2025,18:05:00,531175.53
02-06-2025,18:10:00,531181.91
02-06-2025,18:15:00,531188.69
02-06-2025,18:20:00,531195.42
02-06-2025,18:25:00,531201.49
02-06-2025,18:30:00,531207.77
02-06-2025,18:35:00,531213.6
02-06-2025,18:40:00,531219.67
02-06-2025,18:45:00,531226.33
02-06-2025,18:50:00,531232.24
